brand,category,product_name,avg_price,min_price,max_price,price_std,product_count
mystery,appliances,refrigerators,68.1,68.1,68.1,0.0,4
mystery,appliances,vacuum,38.43,30.67,45.67,2.16,76
mystery,auto,player,26.51,26.51,26.51,0.0,29
mystery,computers,tv_tuner,21.67,21.67,21.67,,1
mystery,electronics,acoustic,91.89,83.65,111.27,9.61,59
mystery,electronics,tablet,52.44,52.44,52.44,0.0,7
mystery,electronics,tv,178.54,126.21,387.86,117.01,5
nakamichi,auto,player,54.29,54.29,54.29,0.0,4
nakatomi,computers,desktop,11.71,11.71,11.71,0.0,2
nakatomi,computers,keyboard,16.06,13.4,17.84,2.43,5
nakatomi,computers,mouse,13.52,10.68,15.65,1.95,30
nakatomi,electronics,acoustic,62.54,62.54,62.54,0.0,25
nakatomi,electronics,headphone,14.4,14.4,14.4,0.0,5
nanoleaf,construction,light,229.52,229.52,229.52,0.0,25
navan,computers,power_supply,22.54,22.54,22.54,0.0,2
navigator,construction,light,16.95,16.95,16.95,,1
navitel,auto,gps,86.45,54.29,116.03,16.68,1715
navitel,auto,videoregister,75.75,48.57,87.3,10.77,214
ncl,computers,notebook,17.34,11.24,19.38,4.07,4
nec,computers,monitor,258.36,200.84,332.27,56.58,16
nec,electronics,projector,524.06,475.75,582.13,50.3,7
necchi,appliances,sewing_machine,136.28,111.3,146.49,10.27,90
neoclima,appliances,air_heater,16.9,16.9,16.9,0.0,2
neoline,auto,gps,66.98,66.98,66.98,0.0,40
neoline,auto,radar,205.73,79.21,428.41,127.79,107
neoline,auto,videoregister,234.31,87.14,420.48,114.23,554
neoline,electronics,telephone,13.1,11.33,20.16,3.95,5
neon-night,construction,light,23.31,12.44,36.92,6.74,168
neon-night,jewelry,souvenir,54.95,11.02,95.92,32.62,104
netgear,computers,wifi,135.45,26.44,317.14,150.45,8
netis,computers,router,69.55,20.46,108.62,44.92,3
netis,computers,wifi,26.95,16.7,42.51,7.28,61
netproduct,computers,printer,15.54,9.95,31.02,7.58,86
netproduct,stationery,cartrige,16.59,11.63,72.0,4.98,286
nillkin,electronics,headphone,20.0,20.0,20.0,,1
ninebot,kids,skates,372.35,372.35,372.35,0.0,14
ningbo,electronics,acoustic,10.36,9.75,10.89,0.22,57
nobby,electronics,headphone,22.41,16.0,24.27,3.05,16
nobby,electronics,telephone,39.98,11.56,71.3,18.84,108
noirot,appliances,air_heater,151.78,134.44,184.44,20.67,21
nokia,electronics,telephone,147.84,1.57,742.65,176.81,1141
noreve,electronics,telephone,1.57,1.57,1.57,0.0,9
nubia,electronics,telephone,620.17,162.95,818.59,169.27,196
nv-print,stationery,cartrige,19.75,7.49,114.3,7.69,3641
nzxt,computers,cooler,137.68,134.35,157.68,8.82,7
oasis,appliances,air_heater,33.43,31.76,34.27,1.45,3
oce,stationery,paper,27.02,18.79,29.76,5.49,4
ogden,electronics,telephone,11.9,11.9,11.9,0.0,4
oki,computers,printer,136.92,86.51,957.24,97.23,218
oki,stationery,cartrige,123.71,30.24,261.05,74.91,77
oklick,computers,desktop,14.18,11.75,27.63,3.64,33
oklick,computers,joystick,16.32,12.56,17.97,2.2,26
oklick,computers,keyboard,25.38,11.94,53.98,14.26,119
oklick,computers,mouse,17.99,10.22,40.44,7.13,112
oklick,electronics,acoustic,35.6,8.86,59.11,15.66,274
oklick,electronics,headphone,13.73,10.71,15.33,2.06,4
oldi,electronics,projector,17.14,17.14,17.14,0.0,4
olsa,construction,pump,38.3,38.3,38.3,,1
olto,electronics,acoustic,8.02,4.73,9.71,2.85,3
olto,electronics,headphone,9.22,7.86,12.76,1.91,6
olto,electronics,tv,159.45,88.24,237.19,42.85,13
olympus,electronics,dictaphone,84.48,56.65,108.08,19.53,40
ombra,furniture,bath,42.54,42.54,42.54,0.0,2
oppo,electronics,telephone,168.66,122.67,206.29,36.93,258
optima,appliances,kettle,22.17,22.17,22.17,,1
optimus,auto,videoregister,51.13,51.13,51.13,0.0,3
optoma,electronics,projector,500.26,285.54,1209.78,236.23,89
orico,computers,network_adapter,25.97,25.97,25.97,,1
orico,computers,wifi,20.02,19.65,20.1,0.18,6
orico,construction,screw,20.39,19.6,27.51,2.5,10
orient,appliances,fan,12.29,9.43,15.14,3.13,6
orient,auto,videoregister,80.46,68.6,92.33,13.0,6
orient,computers,hdd,15.85,7.67,18.89,4.9,167
orient,computers,network_adapter,14.61,10.33,18.4,2.85,14
orient,computers,notebook,15.67,8.03,30.54,6.54,27
orient,computers,power_supply,12.98,9.56,16.41,3.75,6
orient,computers,sound_card,15.33,12.0,16.78,0.92,555
orient,electronics,acoustic,8.89,7.48,10.52,1.4,13
oukitel,electronics,telephone,182.67,178.73,202.38,9.66,6
oxion,computers,joystick,11.11,7.95,14.27,4.47,2
oxion,computers,mouse,9.95,7.25,11.92,1.42,7
oxion,electronics,acoustic,9.66,6.32,11.48,1.34,13
oxion,electronics,headphone,8.74,6.08,10.73,2.37,4
oxo,electronics,telephone,9.84,9.84,9.84,0.0,2
ozaki,electronics,telephone,10.48,10.48,10.48,,1
ozone,computers,desktop,40.12,32.44,59.95,9.76,14
ozone,computers,keyboard,33.97,33.97,33.97,0.0,7
ozone,computers,mouse,42.97,42.97,42.97,,1
p.i.t,construction,screw,20.59,20.59,20.59,0.0,66
p.i.t,stationery,stapler,51.68,51.68,51.68,0.0,474
p.i.t.,appliances,mixer,47.35,24.11,60.89,16.6,31
p.i.t.,appliances,vacuum,34.94,34.94,34.94,0.0,7
p.i.t.,auto,compressor,138.4,96.19,150.32,22.28,310
p.i.t.,construction,drill,71.15,25.51,144.49,23.78,1241
p.i.t.,construction,painting,48.68,40.83,51.21,3.59,234
p.i.t.,construction,pump,59.43,24.46,115.24,24.03,102
p.i.t.,construction,saw,73.93,50.94,136.19,24.92,279
p.i.t.,construction,welding,79.37,21.86,109.0,24.98,162
p.i.t.,construction,wrench,75.06,75.06,75.06,0.0,103
palit,computers,videocards,466.9,43.4,1317.16,190.73,24787
palmexx,accessories,bag,19.34,8.57,24.92,3.7,66
palmexx,computers,cooler,16.98,16.98,16.98,0.0,9
palmexx,computers,hdd,20.16,20.16,20.16,0.0,2
palmexx,computers,joystick,13.36,13.02,15.4,0.9,7
palmexx,computers,network_adapter,10.81,9.84,16.98,1.53,37
palmexx,computers,notebook,28.5,15.71,66.19,5.99,1262
palmexx,computers,power_supply,115.4,115.4,115.4,0.0,135
palmexx,computers,sound_card,11.9,11.9,11.9,0.0,12
palmexx,computers,vr,36.46,34.44,37.62,0.94,196
palmexx,computers,wifi,14.12,13.02,15.4,1.11,23
palmexx,electronics,acoustic,10.22,10.16,10.63,0.16,23
palmexx,electronics,headphone,14.19,6.0,24.92,7.98,22
palmexx,electronics,microphone,20.77,11.65,32.06,9.7,57
palmexx,electronics,tablet,16.13,11.43,18.13,1.66,243
palmexx,electronics,telephone,13.1,1.57,26.83,4.52,158
palmexx,electronics,video,97.17,11.9,438.27,190.68,5
palmexx,stationery,battery,45.4,21.75,58.25,14.32,122
panasonic,appliances,blender,112.73,112.73,112.73,0.0,4
panasonic,appliances,hair_cutter,59.35,33.51,81.63,16.19,128
panasonic,appliances,iron,41.95,31.89,69.97,10.59,30
panasonic,appliances,juicer,145.1,117.87,183.13,23.55,17
panasonic,appliances,meat_grinder,344.64,120.65,420.63,103.2,525
panasonic,appliances,microwave,419.03,99.11,790.63,296.25,200
panasonic,appliances,mixer,51.61,41.06,55.13,7.04,4
panasonic,auto,player,140.02,140.02,140.02,0.0,996
panasonic,computers,notebook,45.84,42.38,57.94,6.66,18
panasonic,computers,printer,32.79,11.37,79.05,16.28,41
panasonic,computers,scanner,306.68,164.79,705.43,231.53,6
panasonic,electronics,fax,122.31,96.35,141.54,10.36,504
panasonic,electronics,headphone,27.99,11.57,167.76,30.42,205
panasonic,electronics,telephone,68.91,22.08,216.22,31.51,995
panasonic,electronics,tv,988.14,193.32,2113.97,659.37,190
panasonic,electronics,video,464.77,48.08,817.11,189.2,622
panasonic,stationery,cartrige,47.5,17.92,71.59,14.71,83
pantum,computers,printer,117.28,67.0,141.6,14.44,3509
pantum,stationery,cartrige,50.04,36.06,52.37,6.16,7
paprcuts,electronics,clocks,8.27,1.57,12.54,5.42,36
parkmaster,auto,parktronic,78.12,35.4,125.4,30.37,415
patriot,appliances,mixer,79.21,79.21,79.21,,1
patriot,appliances,vacuum,97.23,96.67,98.25,0.78,17
patriot,auto,compressor,122.2,99.21,156.98,14.26,63
patriot,construction,drill,60.31,24.67,104.6,17.31,248
patriot,construction,heater,77.2,41.57,285.56,82.68,16
patriot,construction,painting,40.67,14.37,58.57,19.71,22
patriot,construction,pump,67.26,25.73,142.7,30.91,95
patriot,construction,saw,107.49,44.29,277.62,46.05,158
patriot,construction,welding,168.62,24.11,317.3,97.16,57
patriot,construction,wrench,100.68,33.06,164.92,58.79,42
patriot,country_yard,cultivator,511.62,104.6,1126.83,148.08,1371
patriot,country_yard,lawn_mower,235.96,72.86,499.84,144.42,124
patriot,stationery,stapler,34.86,30.33,41.11,5.32,72
pccooler,computers,cooler,24.29,10.05,105.22,11.64,793
pengfa,construction,screw,11.67,4.13,24.13,7.47,42
perfeo,computers,desktop,15.13,15.13,15.13,0.0,24
perfeo,computers,hdd,40.89,23.03,61.68,19.49,3
perfeo,computers,keyboard,14.32,14.27,14.35,0.04,19
perfeo,computers,mouse,11.44,7.98,18.62,1.54,195
perfeo,computers,notebook,23.81,23.81,23.81,,1
perfeo,computers,tv_tuner,26.1,18.44,34.73,7.14,432
perfeo,computers,wifi,11.86,11.86,11.86,0.0,152
perfeo,country_yard,weather_station,14.76,12.75,21.16,3.32,41
perfeo,electronics,acoustic,21.75,6.38,47.6,11.9,231
perfeo,electronics,clocks,14.99,9.94,21.16,2.92,129
perfeo,electronics,headphone,16.39,9.37,47.06,8.89,115
perfeo,electronics,tablet,7.71,5.19,14.44,4.32,11
perfeo,electronics,telephone,11.71,7.49,14.71,1.75,66
perfeo,stationery,battery,10.08,4.37,12.37,3.13,6
perfeo,stationery,paper,15.35,15.35,15.35,0.0,4
phantom,appliances,vacuum,18.17,18.17,18.17,0.0,2
phantom,auto,compressor,17.67,11.59,27.03,5.0,36
phantom,auto,parktronic,20.44,19.92,20.56,0.26,11
phantom,auto,player,237.33,36.22,271.51,82.46,48
phantom,electronics,acoustic,23.24,15.16,33.02,6.55,33
phantom,electronics,telephone,7.7,7.7,7.7,0.0,4
philips,appliances,blender,103.3,38.4,208.89,41.61,111
philips,appliances,coffee_machine,453.62,17.89,779.9,197.24,523
philips,appliances,hair_cutter,58.58,30.83,97.94,26.49,386
philips,appliances,iron,88.72,31.27,306.78,46.3,220
philips,appliances,juicer,196.56,89.38,245.3,73.74,19
philips,appliances,kettle,89.31,40.98,103.29,23.86,139
philips,appliances,mixer,49.88,37.11,73.29,14.82,17
philips,appliances,toster,45.9,38.1,97.25,16.48,15
philips,appliances,vacuum,88.64,25.54,548.59,89.97,331
philips,computers,desktop,22.02,22.02,22.02,0.0,2
philips,computers,monitor,251.98,68.57,12601.57,622.94,1114
philips,construction,generator,198.62,198.62,198.62,0.0,34
philips,construction,light,44.76,44.76,44.76,0.0,16
philips,electronics,dictaphone,54.77,45.6,63.94,12.97,2
philips,electronics,headphone,28.95,12.11,43.56,12.21,42
philips,electronics,telephone,73.78,18.25,131.29,32.09,616
philips,electronics,tv,388.03,182.44,1223.49,204.92,357
picard,accessories,bag,1125.4,1125.4,1125.4,,1
pilotage,kids,toys,77.77,48.57,93.25,16.17,90
pioneer,auto,parktronic,44.94,44.94,44.94,0.0,74
pioneer,auto,player,185.31,45.56,1031.59,167.66,6186
pioneer,auto,videoregister,73.49,67.78,113.49,12.71,220
pioneer,electronics,acoustic,138.99,25.57,1725.4,115.15,2861
pioneer,electronics,headphone,137.82,18.17,721.44,120.72,79
pioneer,electronics,microphone,60.62,56.65,72.52,7.93,4
piquadro,accessories,bag,401.79,120.63,1125.4,220.61,84
pitaka,electronics,telephone,59.38,27.27,73.83,8.94,456
pitatel,appliances,vacuum,46.43,18.1,97.14,12.6,850
pitatel,computers,notebook,41.54,11.9,112.38,15.08,2977
pitatel,computers,printer,45.56,45.56,45.56,0.0,6
pitatel,country_yard,lawn_mower,82.7,82.7,82.7,0.0,2
pitatel,electronics,tablet,31.66,19.52,69.21,12.79,308
plantronics,computers,desktop,82.53,47.46,98.35,21.2,50
plantronics,electronics,headphone,79.95,41.83,116.06,17.81,371
playme,auto,radar,107.04,102.14,147.46,12.32,37
playme,auto,videoregister,144.58,63.33,253.81,71.79,474
plextor,computers,hdd,86.52,38.89,187.78,27.31,62
plustek,computers,scanner,315.47,286.1,323.86,16.65,9
pny,computers,hdd,41.51,41.51,41.51,,1
pny,computers,videocards,1101.61,165.0,5596.38,1281.42,38
pocketbook,computers,ebooks,220.36,105.29,257.87,53.94,2616
pockets,electronics,headphone,6.4,6.4,6.4,0.0,2
polaris,appliances,air_heater,70.19,20.21,105.35,20.53,341
polaris,appliances,blender,52.5,27.57,111.73,24.98,166
polaris,appliances,coffee_machine,119.61,18.21,341.46,103.35,298
polaris,appliances,fan,31.92,28.11,37.76,5.13,3
polaris,appliances,grill,79.16,79.16,79.16,0.0,6
polaris,appliances,hair_cutter,23.89,19.1,32.17,3.48,60
polaris,appliances,iron,57.63,23.17,99.67,29.24,50
polaris,appliances,juicer,64.27,59.16,74.86,7.5,15
polaris,appliances,kettle,39.64,22.79,71.62,13.89,189
polaris,appliances,massager,45.95,44.89,49.67,2.11,9
polaris,appliances,meat_grinder,82.73,47.84,161.63,37.12,111
polaris,appliances,microwave,144.48,144.48,144.48,0.0,4
polaris,appliances,mixer,34.95,25.4,55.95,9.98,64
polaris,appliances,scales,24.61,18.03,27.9,3.85,12
polaris,appliances,steam_cooker,51.39,47.73,58.7,5.4,12
polaris,appliances,toster,39.92,24.54,54.75,12.96,34
polaris,appliances,vacuum,118.9,60.78,352.86,85.16,182
polaris,construction,generator,126.24,123.27,161.41,10.27,90
portcase,accessories,bag,32.96,13.56,135.94,29.33,124
positive,electronics,tablet,12.62,12.62,12.62,0.0,56
positive,electronics,telephone,10.07,1.57,12.9,2.15,22
powercolor,computers,videocards,362.31,48.3,515.4,72.89,4238
powercool,computers,power_supply,29.92,17.84,38.6,6.49,28
powerman,computers,power_supply,28.6,24.46,36.11,4.57,21
prestigio,auto,gps,19.05,19.05,19.05,0.0,3
prestigio,electronics,tablet,86.48,7.38,112.4,24.95,226
primeline,computers,network_adapter,9.05,9.05,9.05,0.0,3
printpro,stationery,paper,8.22,6.05,15.1,2.49,72
procase,computers,cooler,31.97,22.87,44.76,4.54,13
procase,computers,power_supply,130.34,63.03,151.87,17.33,37
proconnect,construction,screw,11.56,11.56,11.56,0.0,2
proconnect,construction,soldering,10.62,8.25,13.89,2.13,13
proda,electronics,headphone,23.81,23.81,23.81,0.0,8
proda,electronics,telephone,16.24,11.9,18.41,3.76,3
prology,auto,gps,64.06,56.51,144.29,16.0,154
prology,auto,player,157.78,83.81,351.84,52.29,225
prology,auto,videoregister,54.13,34.48,72.86,13.67,19
prology,electronics,telephone,16.79,15.13,17.62,1.44,3
promo,appliances,fan,18.65,18.65,18.65,,1
proskit,construction,screw,17.57,10.57,24.13,5.69,19
proskit,construction,soldering,41.98,20.41,45.14,8.34,47
pullman,appliances,vacuum,44.52,44.52,44.52,0.0,3
qcyber,computers,desktop,48.7,24.13,85.43,23.15,13
qcyber,computers,keyboard,35.35,25.08,47.46,11.04,80
qcyber,computers,mouse,49.15,24.51,66.51,12.67,72
qcyber,electronics,headphone,40.54,17.19,58.57,16.63,15
qcyber,electronics,telephone,20.76,13.79,27.75,5.55,9
qnap,computers,hdd,841.12,345.32,1206.98,341.18,10
qnap,computers,nas,401.4,309.21,890.08,161.89,25
qumo,computers,desktop,23.8,10.81,39.44,5.69,33
qumo,computers,hdd,51.6,30.0,67.97,12.34,16
qumo,computers,keyboard,25.28,16.3,33.1,6.92,15
qumo,computers,mouse,15.99,10.35,26.25,5.04,31
qumo,electronics,acoustic,25.12,17.52,52.38,5.67,388
qumo,electronics,headphone,21.39,16.33,28.7,4.9,107
raco,country_yard,watering,22.81,16.95,28.67,6.26,8
raidmax,computers,power_supply,71.7,23.29,79.24,18.46,27
rapoo,computers,keyboard,38.87,30.95,47.0,6.7,110
rapoo,computers,mouse,33.57,12.29,35.25,4.84,349
razer,computers,desktop,106.34,105.33,111.38,2.47,6
razer,computers,keyboard,166.34,164.84,166.84,0.9,12
realme,electronics,telephone,254.37,20.19,324.35,85.06,398
recardo,computers,desktop,108.97,89.06,122.24,18.17,5
red,computers,desktop,41.81,41.81,41.81,,1
redline,kids,toys,12.92,9.29,13.02,0.53,56
redmi,electronics,telephone,198.14,91.59,251.27,26.75,619
redmond,appliances,blender,103.52,33.43,123.02,30.85,230
redmond,appliances,coffee_grinder,39.77,28.52,45.63,7.49,15
redmond,appliances,coffee_machine,148.73,57.83,183.6,47.05,552
redmond,appliances,grill,112.14,60.27,179.92,49.36,111
redmond,appliances,iron,33.11,29.78,58.0,8.16,58
redmond,appliances,juicer,99.9,60.27,165.33,42.08,16
redmond,appliances,kettle,50.3,33.6,99.54,11.51,65
redmond,appliances,meat_grinder,102.57,62.73,183.78,49.43,48
redmond,appliances,microwave,97.22,90.94,103.16,5.34,22
redmond,appliances,mixer,43.24,43.24,43.24,0.0,3
redmond,appliances,scales,27.3,19.75,56.98,8.12,68
redmond,appliances,toster,33.43,33.43,33.43,,1
redmond,appliances,vacuum,179.05,94.6,258.56,57.09,147
redragon,computers,desktop,65.36,18.43,238.41,73.21,134
redragon,computers,joystick,25.21,19.52,26.49,2.28,54
redragon,computers,keyboard,51.98,25.97,66.7,7.14,103
redragon,computers,mouse,33.64,15.89,62.0,10.42,227
redragon,electronics,acoustic,71.75,71.75,71.75,,1
redragon,electronics,headphone,21.25,20.37,26.37,1.5,14
rekam,electronics,video,75.78,14.6,110.63,31.94,89
remaks,electronics,headphone,12.38,12.38,12.38,,1
remax,accessories,bag,27.4,25.9,28.89,2.11,2
remax,auto,videoregister,47.65,47.65,47.65,0.0,15
remax,computers,mouse,14.79,14.6,15.08,0.26,5
remax,computers,network_adapter,15.32,12.7,16.67,1.92,6
remax,computers,notebook,10.81,7.87,13.65,2.76,13
remax,construction,light,22.94,13.79,30.16,6.58,143
remax,construction,screw,4.9,4.9,4.9,,1
remax,electronics,acoustic,49.73,11.67,97.94,22.48,113
remax,electronics,headphone,23.47,12.46,48.41,9.79,166
remax,electronics,telephone,14.27,9.87,27.21,2.58,116
resmed,computers,printer,34.07,14.02,93.29,13.39,41
resmed,stationery,cartrige,28.06,14.71,49.76,9.08,119
rexant,construction,screw,10.98,10.98,10.98,0.0,5
rexant,electronics,acoustic,12.28,4.52,15.97,3.63,18
ricoh,computers,printer,297.21,25.94,2936.13,394.74,945
ricoh,electronics,projector,366.53,328.71,444.94,49.96,9
ricoh,stationery,cartrige,89.87,43.14,337.4,50.29,586
ritmix,auto,player,31.52,21.52,32.83,3.24,59
ritmix,auto,radar,56.61,43.4,58.9,4.47,22
ritmix,auto,videoregister,61.14,25.16,136.33,31.47,201
ritmix,computers,camera,9.31,7.49,12.92,2.48,21
ritmix,computers,desktop,10.53,9.13,25.79,3.47,114
ritmix,computers,ebooks,82.32,74.89,85.71,5.05,83
ritmix,computers,joystick,22.5,8.43,34.54,7.33,178
ritmix,computers,keyboard,15.63,12.3,17.73,2.76,8
ritmix,computers,mouse,14.6,10.06,19.24,2.96,24
ritmix,computers,network_adapter,11.02,11.02,11.02,,1
ritmix,computers,tv_tuner,22.21,19.4,23.97,1.59,15
ritmix,country_yard,weather_station,14.59,13.51,16.0,0.93,87
ritmix,electronics,acoustic,20.57,9.43,49.05,11.64,140
ritmix,electronics,clocks,21.69,19.52,32.19,4.4,49
ritmix,electronics,dictaphone,40.29,31.21,52.81,6.51,227
ritmix,electronics,headphone,15.26,6.62,34.41,5.08,64
ritmix,electronics,microphone,43.47,6.0,52.49,10.6,880
